1001,Abbott Laboratories,Healthcare,Enterprise,Australia,APJ,ANZ,2020-04-15,12617.11,2281.73,12.98,18.08,31,11,2020-04-15,04,2020-04,157,Strategic (VIP),Silver,11
1002,Aetna,Healthcare,SMB,United Kingdom,EMEA,UKIR,2020-03-31,27278.59,3312.66,16.27,12.14,76,14,2020-03-31,03,2020-03,172,New,Gold,14
1003,Allstate,Finance,Strategic,United States,AMER,NAMER,2020-02-19,39941.64,-2796.29,12.38,-7.00,61,13,2020-02-19,02,2020-02,213,High Value (Core),Platinum,13
1004,Amazon,Tech,SMB,Mexico,AMER,LATAM,2020-01-14,23189.21,2163.98,15.44,9.33,62,13,2020-01-14,01,2020-01,249,New,Gold,13
1005,American Express,Finance,SMB,Canada,AMER,NAMER,2020-03-01,33514.92,5436.25,14.46,16.22,71,12,2020-03-01,03,2020-03,202,High Value (Core),Platinum,12
1006,Aviva,Finance,SMB,United Kingdom,EMEA,UKIR,2020-01-16,14863.52,1474.35,11.30,9.92,42,13,2020-01-16,01,2020-01,247,New,Silver,13
1007,AmerisourceBergen,Healthcare,SMB,United States,AMER,NAMER,2020-02-24,39234.76,4202.88,21.14,10.71,68,14,2020-02-24,02,2020-02,208,High Value (Core),Platinum,14
1008,Apple,Tech,Strategic,United States,AMER,NAMER,2020-01-10,23069.41,3626.62,18.69,15.72,50,12,2020-01-10,01,2020-01,253,Strategic (VIP),Gold,12
1009,Ford Motor,Manufacturing,SMB,United States,AMER,NAMER,2020-03-03,43893.04,4010.76,14.13,9.14,103,14,2020-03-03,03,2020-03,200,High Value (Core),Platinum,14
1010,AT&T,Communications,Enterprise,United States,AMER,NAMER,2020-03-11,29462.32,4520.66,14.60,15.34,67,13,2020-03-11,03,2020-03,192,Strategic (VIP),Gold,13
1011,Bank of America Corp.,Finance,SMB,Philippines,APJ,APAC,2020-06-15,41255.94,6449.85,13.00,15.63,65,13,2020-06-15,06,2020-06,96,High Value (Core),Platinum,13
1012,Berkshire Hathaway,Finance,Strategic,United States,AMER,NAMER,2020-03-31,7100.92,812.73,16.66,11.45,25,11,2020-03-31,03,2020-03,172,Strategic (VIP),Silver,11
1013,Enel,Energy,Strategic,Germany,EMEA,EU-WEST,2020-02-16,12636.09,1001.46,14.75,7.93,41,14,2020-02-16,02,2020-02,216,Strategic (VIP),Silver,14
1014,Boeing,Manufacturing,Enterprise,United Kingdom,EMEA,UKIR,2020-01-31,14296.14,666.54,20.27,4.66,49,12,2020-01-31,01,2020-01,232,Strategic (VIP),Silver,12
1015,Samsung Electronics,Tech,Strategic,Germany,EMEA,EU-WEST,2020-03-17,23933.32,3078.66,17.90,12.86,58,13,2020-03-17,03,2020-03,186,Strategic (VIP),Gold,13
1016,Caterpillar,Manufacturing,SMB,Spain,EMEA,EU-WEST,2020-03-28,20865.10,2579.16,15.93,12.36,42,13,2020-03-28,03,2020-03,175,New,Gold,13
1017,Chevron,Energy,SMB,Ireland,EMEA,UKIR,2020-02-23,34912.16,3569.89,16.15,10.23,77,14,2020-02-23,02,2020-02,209,High Value (Core),Platinum,14
1018,Petrobras,Energy,Strategic,Russia,EMEA,EU-EAST,2020-06-06,9628.43,184.09,24.00,1.91,26,12,2020-06-06,06,2020-06,105,Strategic (VIP),Silver,12
1019,Cisco Systems,Tech,SMB,Sweden,EMEA,NOR,2020-03-28,19780.46,3219.84,15.20,16.28,42,13,2020-03-28,03,2020-03,175,New,Gold,13
1020,Citigroup,Finance,SMB,Mexico,AMER,LATAM,2020-04-25,6132.52,474.33,23.63,7.73,13,10,2020-04-25,04,2020-04,147,New,Silver,10
1021,Coca-Cola,Consumer Products,SMB,Japan,APJ,JAPN,2020-02-28,28643.80,9449.02,16.79,32.99,38,13,2020-02-28,02,2020-02,204,New,Gold,13
1022,Comcast,Communications,SMB,Poland,EMEA,EU-WEST,2020-03-14,25597.57,2086.90,17.79,8.15,77,13,2020-03-14,03,2020-03,189,New,Gold,13
1023,China National Petroleum,Energy,Strategic,France,EMEA,EU-WEST,2020-08-24,20290.34,4496.32,16.22,22.16,54,13,2020-08-24,08,2020-08,26,Strategic (VIP),Gold,13
1024,ConocoPhillips,Energy,SMB,United States,AMER,NAMER,2020-01-07,32291.46,4136.34,15.78,12.81,61,14,2020-01-07,01,2020-01,256,High Value (Core),Gold,14
1025,Costco Wholesale,Retail,SMB,France,EMEA,EU-WEST,2020-04-26,21796.70,-1354.85,13.70,-6.22,37,14,2020-04-26,04,2020-04,146,New,Gold,14
1026,CVS Health,Retail,SMB,United States,AMER,NAMER,2020-01-05,23736.85,4181.26,13.77,17.62,61,13,2020-01-05,01,2020-01,258,New,Gold,13
1027,Gazprom,Energy,Strategic,South Africa,EMEA,MEA,2020-08-08,5402.90,-13.96,18.30,-0.26,23,12,2020-08-08,08,2020-08,42,New,Silver,12
1028,Sony,Tech,Strategic,Luxembourg,EMEA,EU-WEST,2020-04-05,22780.19,1812.18,18.07,7.96,65,12,2020-04-05,04,2020-04,167,Strategic (VIP),Gold,12
1029,Anthem,Healthcare,SMB,United States,AMER,NAMER,2020-01-14,55719.21,5953.20,11.79,10.68,58,13,2020-01-14,01,2020-01,249,High Value (Core),Platinum,13
